appleL02106年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2017",,106年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2017",,106年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2017"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第2表 平均每戶家庭收支按區域別分,,,,,Table 2. Average Family Income and Expenditure per Household by Areas,,第2表 平均每戶家庭收支按區域別分(續一),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.1),,第2表 平均每戶家庭收支按區域別分(續二),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 106 年,,,,單位：元,2 0 1 7 Unit:NT$,,,,,民 國 106 年,,,,單位：元,2 0 1 7 Unit:NT$,,,,,民 國 106 年,,,,單位：元,2 0 1 7 Unit:NT$,,,
,總 平 均,新 北 市,臺 北 市,桃 園 市,臺 中 市,臺 南 市,高 雄 市,,,,宜 蘭 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,8559187,1533928,1049354,779743,951383,680737,1087007,No. of households,,家庭戶數,167742,189271,186749,385572,177729,239882,182646,No. of households,,家庭戶數,286320,82755,125621,39321,152390,161811,99226,No. of households
平均每戶人數,3.07,3.1,3.08,3.38,3.06,3.08,3.07,No. of persons per household,,平均每戶人數,2.87,3.4,3.08,3.27,2.94,2.76,2.85,No. of persons per household,,平均每戶人數,2.86,2.52,2.48,2.4500000000000002,2.84,2.91,2.96,No. of persons per household
平均每戶成年人數,2.54,2.6,2.62,2.67,2.5299999999999998,2.56,2.58,No. of adults per household,,平均每戶成年人數,2.38,2.67,2.5,2.65,2.46,2.29,2.42,No. of adults per household,,平均每戶成年人數,2.2999999999999998,2.02,2.06,2.0299999999999998,2.35,2.3199999999999998,2.38,No. of adults per household
平均每戶就業人數,1.43,1.46,1.34,1.6,1.47,1.52,1.43,No. of persons employed per household,,平均每戶就業人數,1.1399999999999999,1.55,1.4,1.58,1.32,1.29,1.49,No. of persons employed per household,,平均每戶就業人數,1.36,1.1499999999999999,1.05,0.95,1.25,1.33,1.34,No. of persons employed per household
平均每戶所得收入者人數,1.75,1.84,1.78,1.88,1.73,1.74,1.77,No. of income recipients per household,,平均每戶所得收入者人數,1.62,1.8,1.69,1.71,1.61,1.57,1.65,No. of income recipients per household,,平均每戶所得收入者人數,1.62,1.46,1.44,1.46,1.65,1.72,1.64,No. of income recipients per household
